dates,highs,lows,precip
1/01/1900,44.0,27.0,0.00
1/02/1900,44.0,20.0,0.00
1/03/1900,48.0,30.0,0.00
1/04/1900,54.0,39.0,T
1/05/1900,55.0,50.0,0.10
1/06/1900,58.0,50.0,0.00
1/07/1900,59.0,50.0,0.00
1/08/1900,58.0,47.0,0.00
1/09/1900,63.0,53.0,0.03
1/10/1900,54.0,44.0,0.20
1/11/1900,54.0,42.0,0.22
1/12/1900,55.0,35.0,0.00
1/13/1900,65.0,37.0,0.00
1/14/1900,75.0,44.0,0.00
1/15/1900,74.0,53.0,0.00
1/16/1900,64.0,48.0,T
1/17/1900,54.0,44.0,0.00
1/18/1900,49.0,35.0,0.00
1/19/1900,53.0,31.0,0.00
1/20/1900,70.0,29.0,0.00
1/21/1900,72.0,37.0,0.00
1/22/1900,70.0,45.0,0.00
1/23/1900,70.0,45.0,0.00
1/24/1900,78.0,46.0,0.00
1/25/1900,53.0,33.0,0.00
1/26/1900,44.0,31.0,0.00
1/27/1900,50.0,36.0,0.00
1/28/1900,40.0,19.0,0.04
1/29/1900,42.0,12.0,0.00
1/30/1900,48.0,25.0,0.00
1/31/1900,49.0,28.0,0.00
2/01/1900,58.0,25.0,0.00
2/02/1900,65.0,46.0,0.00
2/03/1900,72.0,51.0,0.00
2/04/1900,58.0,41.0,0.00
2/05/1900,66.0,48.0,T
2/06/1900,73.0,57.0,0.01
2/07/1900,72.0,63.0,0.05
2/08/1900,70.0,26.0,0.05
2/09/1900,42.0,21.0,0.00
2/10/1900,50.0,29.0,0.00
2/11/1900,54.0,27.0,0.00
2/12/1900,58.0,35.0,0.00
2/13/1900,55.0,29.0,0.00
2/14/1900,72.0,41.0,0.00
2/15/1900,41.0,24.0,0.00
2/16/1900,28.0,18.0,0.00
2/17/1900,29.0,13.0,0.00
2/18/1900,60.0,13.0,0.00
2/19/1900,63.0,30.0,0.00
2/20/1900,69.0,43.0,0.00
2/21/1900,61.0,38.0,0.00
2/22/1900,65.0,32.0,0.00
2/23/1900,60.0,38.0,0.00
2/24/1900,60.0,27.0,0.00
2/25/1900,78.0,29.0,0.00
2/26/1900,68.0,37.0,0.00
2/27/1900,78.0,48.0,0.01
2/28/1900,48.0,31.0,0.00
3/01/1900,72.0,23.0,0.00
3/02/1900,69.0,39.0,0.00
3/03/1900,70.0,42.0,0.00
3/04/1900,67.0,58.0,T
3/05/1900,72.0,61.0,0.00
3/06/1900,54.0,44.0,T
3/07/1900,52.0,38.0,0.00
3/08/1900,63.0,49.0,0.00
3/09/1900,80.0,51.0,0.00
3/10/1900,77.0,47.0,0.00
3/11/1900,86.0,48.0,0.00
3/12/1900,87.0,51.0,0.00
3/13/1900,85.0,56.0,0.00
3/14/1900,61.0,32.0,0.05
3/15/1900,47.0,31.0,0.15
3/16/1900,50.0,33.0,0.00
3/17/1900,54.0,39.0,T
3/18/1900,74.0,51.0,0.00
3/19/1900,70.0,54.0,0.00
3/20/1900,60.0,41.0,0.00
3/21/1900,59.0,37.0,T
3/22/1900,78.0,45.0,0.08
3/23/1900,60.0,49.0,0.36
3/24/1900,61.0,56.0,0.02
3/25/1900,69.0,53.0,0.01
3/26/1900,65.0,56.0,0.04
3/27/1900,72.0,47.0,0.02
3/28/1900,72.0,57.0,0.00
3/29/1900,67.0,49.0,0.00
3/30/1900,58.0,44.0,0.00
3/31/1900,62.0,36.0,0.00
4/01/1900,74.0,43.0,0.00
4/02/1900,79.0,52.0,0.00
4/03/1900,81.0,57.0,0.00
4/04/1900,80.0,65.0,T
4/05/1900,78.0,59.0,0.00
4/06/1900,62.0,51.0,0.48
4/07/1900,65.0,53.0,3.09
4/08/1900,82.0,52.0,0.02
4/09/1900,78.0,60.0,0.00
4/10/1900,77.0,56.0,0.00
4/11/1900,53.0,39.0,0.00
4/12/1900,63.0,33.0,0.00
4/13/1900,70.0,42.0,0.00
4/14/1900,70.0,51.0,0.00
4/15/1900,80.0,63.0,0.17
4/16/1900,81.0,59.0,0.04
4/17/1900,73.0,52.0,0.00
4/18/1900,67.0,47.0,0.00
4/19/1900,72.0,52.0,0.19
4/20/1900,70.0,54.0,0.12
4/21/1900,78.0,51.0,0.00
4/22/1900,69.0,61.0,0.06
4/23/1900,83.0,61.0,0.00
4/24/1900,74.0,58.0,0.75
4/25/1900,79.0,56.0,0.00
4/26/1900,82.0,59.0,T
4/27/1900,71.0,60.0,1.81
4/28/1900,81.0,59.0,0.61
4/29/1900,80.0,61.0,0.00
4/30/1900,80.0,64.0,0.00
5/01/1900,79.0,61.0,0.00
5/02/1900,86.0,58.0,0.00
5/03/1900,72.0,58.0,0.12
5/04/1900,81.0,52.0,0.00
5/05/1900,79.0,65.0,0.00
5/06/1900,82.0,69.0,T
5/07/1900,86.0,66.0,0.00
5/08/1900,82.0,65.0,0.02
5/09/1900,81.0,63.0,0.00
5/10/1900,83.0,55.0,0.00
5/11/1900,82.0,60.0,0.00
5/12/1900,84.0,63.0,0.00
5/13/1900,86.0,68.0,0.00
5/14/1900,84.0,68.0,T
5/15/1900,70.0,63.0,0.86
5/16/1900,70.0,59.0,0.02
5/17/1900,83.0,58.0,0.00
5/18/1900,78.0,61.0,0.00
5/19/1900,74.0,60.0,0.00
5/20/1900,72.0,58.0,0.03
5/21/1900,72.0,58.0,0.06
5/22/1900,74.0,60.0,0.03
5/23/1900,84.0,57.0,0.00
5/24/1900,91.0,63.0,0.07
5/25/1900,85.0,66.0,0.00
5/26/1900,82.0,65.0,2.96
5/27/1900,84.0,65.0,0.82
5/28/1900,85.0,68.0,0.00
5/29/1900,83.0,64.0,1.52
5/30/1900,86.0,68.0,0.07
5/31/1900,88.0,68.0,0.00
6/01/1900,87.0,70.0,0.00
6/02/1900,85.0,66.0,0.59
6/03/1900,83.0,68.0,T
6/04/1900,86.0,67.0,0.22
6/05/1900,92.0,70.0,0.00
6/06/1900,96.0,72.0,0.00
6/07/1900,95.0,75.0,0.00
6/08/1900,95.0,74.0,0.00
6/09/1900,92.0,75.0,0.00
6/10/1900,94.0,72.0,0.00
6/11/1900,96.0,73.0,T
6/12/1900,92.0,67.0,0.00
6/13/1900,95.0,73.0,0.00
6/14/1900,92.0,72.0,0.00
6/15/1900,93.0,66.0,0.00
6/16/1900,98.0,73.0,0.00
6/17/1900,99.0,75.0,0.00
6/18/1900,93.0,72.0,0.00
6/19/1900,82.0,68.0,0.00
6/20/1900,87.0,63.0,0.00
6/21/1900,93.0,65.0,0.00
6/22/1900,101.0,73.0,0.00
6/23/1900,84.0,69.0,0.00
6/24/1900,89.0,63.0,0.00
6/25/1900,94.0,72.0,0.00
6/26/1900,102.0,75.0,0.00
6/27/1900,100.0,78.0,0.00
6/28/1900,96.0,77.0,0.00
6/29/1900,96.0,75.0,0.03
6/30/1900,94.0,76.0,0.00
7/01/1900,94.0,77.0,0.00
7/02/1900,95.0,76.0,0.00
7/03/1900,93.0,73.0,0.00
7/04/1900,84.0,72.0,0.07
7/05/1900,88.0,71.0,0.15
7/06/1900,94.0,73.0,0.00
7/07/1900,93.0,74.0,0.00
7/08/1900,96.0,76.0,0.00
7/09/1900,93.0,64.0,0.66
7/10/1900,95.0,72.0,0.00
7/11/1900,94.0,71.0,0.00
7/12/1900,91.0,70.0,0.00
7/13/1900,85.0,72.0,0.00
7/14/1900,82.0,72.0,0.10
7/15/1900,79.0,73.0,1.53
7/16/1900,87.0,76.0,0.04
7/17/1900,85.0,65.0,1.80
7/18/1900,90.0,72.0,0.00
7/19/1900,89.0,70.0,0.00
7/20/1900,88.0,73.0,T
7/21/1900,88.0,72.0,0.00
7/22/1900,94.0,74.0,0.00
7/23/1900,93.0,74.0,0.00
7/24/1900,93.0,74.0,0.00
7/25/1900,82.0,69.0,1.54
7/26/1900,86.0,72.0,0.01
7/27/1900,86.0,72.0,0.00
7/28/1900,94.0,67.0,0.00
7/29/1900,93.0,72.0,0.00
7/30/1900,86.0,70.0,0.00
7/31/1900,88.0,69.0,0.00
8/01/1900,88.0,70.0,0.00
8/02/1900,88.0,71.0,T
8/03/1900,88.0,72.0,0.12
8/04/1900,89.0,72.0,0.00
8/05/1900,96.0,70.0,T
8/06/1900,88.0,73.0,0.00
8/07/1900,78.0,72.0,0.60
8/08/1900,88.0,73.0,0.00
8/09/1900,87.0,70.0,0.00
