Month,Average,StDev,25th Pct,75th Pct
January,45.5315746309,11.102750918,31.0,59.5
February,49.297479748,10.7515417133,35.0,63.0
March,57.239475123,9.98781679652,44.0,70.0
April,65.4377118644,7.67643719344,55.0,75.0
May,73.0431930016,6.41422940406,64.5,81.0
June,81.2262711864,4.97600901898,74.5,87.0
July,84.9527082761,4.11807999551,79.5,90.0
August,84.9948993659,4.60264652289,79.0,90.5
September,78.0745014245,6.70026295095,68.5,85.5
October,67.7863247863,8.19853594543,56.5,78.0
November,56.2017094017,9.4628858127,44.0,69.0
December,47.6151089054,9.87682189302,35.5,60.5
